City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
132,Tromso,NO,2021-10-09 20:42:02,69.6496,18.957,46.42,93,75,1.01,light rain
133,Formiga,BR,2021-10-09 20:43:21,-20.4644,-45.4264,70.9,84,72,3.4,broken clouds
134,Kununurra,AU,2021-10-09 20:43:21,-15.7667,128.7333,75.18,69,19,3.44,few clouds
135,Castro,BR,2021-10-09 20:43:22,-24.7911,-50.0119,56.59,99,100,4.76,overcast clouds
136,Sistranda,NO,2021-10-09 20:43:22,63.7256,8.834,56.89,92,100,16.49,overcast clouds
137,Matara,LK,2021-10-09 20:43:22,5.9485,80.5353,79.21,86,100,11.16,overcast clouds
138,Stornoway,GB,2021-10-09 20:43:23,58.2093,-6.3865,53.92,93,60,6.91,broken clouds
139,Havoysund,NO,2021-10-09 20:43:23,70.9963,24.6622,43.68,91,100,3.89,light rain
140,Yeppoon,AU,2021-10-09 20:43:23,-23.1333,150.7333,64.18,71,5,9.35,clear sky
141,Zeya,RU,2021-10-09 20:43:24,53.75,127.2667,39.54,71,100,12.06,overcast clouds
142,Pangai,TO,2021-10-09 20:43:24,-19.8,-174.35,76.71,77,92,11.1,overcast clouds
143,Bogorodskoye,RU,2021-10-09 20:43:24,56.55,37.8833,39.63,75,45,4.76,scattered clouds
144,Faanui,PF,2021-10-09 20:38:52,-16.4833,-151.75,78.3,70,9,5.3,clear sky
145,Puerto Madryn,AR,2021-10-09 20:43:25,-42.7692,-65.0385,72.39,27,0,16.15,clear sky
146,Luleburgaz,TR,2021-10-09 20:43:00,41.4039,27.3592,60.17,81,100,15.73,overcast clouds
147,Zarubino,RU,2021-10-09 20:43:25,42.63,131.0922,64.96,95,100,23.85,overcast clouds
148,Vardo,NO,2021-10-09 20:41:01,70.3705,31.1107,39.36,95,100,8.08,overcast clouds
149,Saint-Philippe,RE,2021-10-09 20:43:26,-21.3585,55.7679,71.19,85,44,15.66,light rain
150,Kruisfontein,ZA,2021-10-09 20:43:26,-34.0033,24.7314,55.89,80,3,10.54,clear sky
151,Turka,UA,2021-10-09 20:43:27,49.1541,23.0297,37.26,70,4,3.31,clear sky
152,Diapaga,BF,2021-10-09 20:43:27,12.0708,1.7889,85.82,44,92,6.15,overcast clouds
153,San Jose,US,2021-10-09 20:38:40,37.3394,-121.895,74.44,45,20,1.99,few clouds
154,Tasiilaq,GL,2021-10-09 20:42:15,65.6145,-37.6368,33.96,88,10,4.29,clear sky
155,Fortuna,US,2021-10-09 20:43:28,40.5982,-124.1573,70.2,57,5,1.99,clear sky
156,Bredasdorp,ZA,2021-10-09 20:43:28,-34.5322,20.0403,49.28,85,0,2.08,clear sky
157,Honiara,SB,2021-10-09 20:43:28,-9.4333,159.95,80.56,84,100,2.04,overcast clouds
158,Coihaique,CL,2021-10-09 20:43:29,-45.5752,-72.0662,62.55,42,20,9.22,few clouds
159,Kahului,US,2021-10-09 20:43:29,20.8947,-156.47,81.66,84,75,23.02,light rain
160,Praia Da Vitoria,PT,2021-10-09 20:43:29,38.7333,-27.0667,70.75,81,52,16.02,broken clouds
161,Portobelo,PA,2021-10-09 20:43:30,9.55,-79.65,85.62,77,34,5.93,scattered clouds
162,Bulgan,MN,2021-10-09 20:42:58,48.8125,103.5347,31.01,57,0,4.63,clear sky
163,Tiksi,RU,2021-10-09 20:43:30,71.6872,128.8694,16.14,89,75,3.44,broken clouds
164,Suez,EG,2021-10-09 20:43:31,29.9737,32.5263,69.82,84,0,10.58,clear sky
165,Cherskiy,RU,2021-10-09 20:42:09,68.75,161.3,9.28,96,99,5.23,overcast clouds
166,Mayo,US,2021-10-09 20:43:31,38.8876,-76.5119,73.36,76,90,15.01,overcast clouds
167,Hovd,MN,2021-10-09 20:43:32,48.0056,91.6419,31.24,40,0,1.95,clear sky
168,Farafangana,MG,2021-10-09 20:43:32,-22.8167,47.8333,68.83,78,3,10.09,clear sky
169,Kashary,RU,2021-10-09 20:43:33,49.04,41.0056,45.63,50,100,7.38,light rain
170,Kampong Thum,KH,2021-10-09 20:43:33,12.7111,104.8887,75.47,94,98,1.43,overcast clouds
171,Lebu,CL,2021-10-09 20:38:50,-37.6167,-73.65,56.52,75,0,9.08,clear sky
172,Taltal,CL,2021-10-09 20:43:33,-25.4,-70.4833,62.44,60,21,8.01,few clouds
173,Zacatepec,MX,2021-10-09 20:43:34,18.65,-99.2,86.77,54,48,0.76,scattered clouds
174,Yamada,JP,2021-10-09 20:43:34,39.4667,141.95,61.09,90,58,10.8,broken clouds
175,Vilhena,BR,2021-10-09 20:43:34,-12.7406,-60.1458,89.82,48,40,12.66,scattered clouds
176,Loralai,PK,2021-10-09 20:43:35,30.3705,68.598,68.32,15,0,5.3,clear sky
177,Grimstad,NO,2021-10-09 20:43:35,58.3405,8.5934,53.51,88,47,9.46,scattered clouds
178,La Belgica,BO,2021-10-09 20:43:36,-17.55,-63.2167,97.68,46,75,12.66,broken clouds
179,Lappeenranta,FI,2021-10-09 20:43:36,61.0587,28.1887,52.81,98,90,3.44,overcast clouds
180,Timra,SE,2021-10-09 20:43:36,62.487,17.3257,49.68,100,90,3.44,fog
181,Sagua La Grande,CU,2021-10-09 20:43:37,22.8067,-80.0756,90.59,76,100,9.62,overcast clouds
182,Komsomolskiy,UZ,2021-10-09 20:43:37,40.4272,71.7189,52.52,58,75,9.22,broken clouds
183,Hualmay,PE,2021-10-09 20:43:37,-11.0964,-77.6139,66.51,80,54,10.38,broken clouds
184,La Serena,CL,2021-10-09 20:43:38,-29.9078,-71.2542,62.11,48,20,13.8,few clouds
185,Makakilo City,US,2021-10-09 20:43:38,21.3469,-158.0858,82.72,66,90,10.36,light rain
186,New Norfolk,AU,2021-10-09 20:43:39,-42.7826,147.0587,46.71,62,49,1.99,scattered clouds
187,Buin,CL,2021-10-09 20:43:39,-33.7333,-70.75,74.05,47,13,11.14,few clouds
188,Phan Thiet,VN,2021-10-09 20:43:39,10.9333,108.1,76.66,92,100,8.72,moderate rain
189,Constitucion,CL,2021-10-09 20:43:40,-35.3333,-72.4167,56.77,77,34,7.11,scattered clouds
190,Sainte-Maxime,FR,2021-10-09 20:43:40,43.3,6.6333,66.22,73,100,11.39,overcast clouds
191,Obigarm,TJ,2021-10-09 20:43:41,38.7173,69.7088,42.15,42,79,2.66,broken clouds
192,Jiexiu,CN,2021-10-09 20:43:41,37.0244,111.9125,47.73,57,97,1.48,overcast clouds
193,Kavaratti,IN,2021-10-09 20:43:41,10.5669,72.642,82.2,80,99,10.63,overcast clouds
194,Iquique,CL,2021-10-09 20:40:44,-20.2208,-70.1431,62.64,77,26,9.73,scattered clouds
195,Nangan,PH,2021-10-09 20:43:42,6.4726,126.1244,83.98,68,100,17.52,overcast clouds
196,Arraial Do Cabo,BR,2021-10-09 20:43:42,-22.9661,-42.0278,69.76,68,90,16.11,overcast clouds
197,Carnarvon,AU,2021-10-09 20:43:43,-24.8667,113.6333,60.87,63,0,13.8,clear sky
198,Karratha,AU,2021-10-09 20:43:43,-20.7377,116.8463,74.48,24,0,11.74,clear sky
199,Wang Saphung,TH,2021-10-09 20:43:43,17.301,101.7685,73.36,91,100,2.66,overcast clouds
200,Nikolskoye,RU,2021-10-09 20:43:44,59.7035,30.7861,54.88,85,99,5.77,overcast clouds
201,Vao,NC,2021-10-09 20:43:44,-22.6667,167.4833,69.51,62,56,15.21,broken clouds
202,Kandrian,PG,2021-10-09 20:43:44,-6.2167,149.55,77.76,89,100,4.65,light rain
203,Sur,OM,2021-10-09 20:43:45,22.5667,59.5289,83.71,50,5,7.61,clear sky
204,Ishigaki,JP,2021-10-09 20:43:45,24.3448,124.1572,82.78,79,0,21.07,clear sky
