City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
160,Praia Da Vitoria,PT,70.75,broken clouds,38.7333,-27.0667,Hotel Branco I
161,Portobelo,PA,85.62,scattered clouds,9.55,-79.65,Scuba Portobelo
162,Bulgan,MN,31.01,clear sky,48.8125,103.5347,Unitel Булган салбар
163,Tiksi,RU,16.14,broken clouds,71.6872,128.8694,Arktika
164,Suez,EG,69.82,clear sky,29.9737,32.5263,Green House
165,Cherskiy,RU,9.28,overcast clouds,68.75,161.3,Gostinitsa
166,Mayo,US,73.36,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
167,Hovd,MN,31.24,clear sky,48.0056,91.6419,Hotel Khovd
168,Farafangana,MG,68.83,clear sky,-22.8167,47.8333,Miarina
169,Kashary,RU,45.63,light rain,49.04,41.0056,Гостиница N 1
170,Kampong Thum,KH,75.47,overcast clouds,12.7111,104.8887,Sambor Village Hotel
171,Lebu,CL,56.52,clear sky,-37.6167,-73.65,Hostal Las Lilas
172,Taltal,CL,62.44,few clouds,-25.4,-70.4833,Residencial Karime
173,Zacatepec,MX,86.77,scattered clouds,18.65,-99.2,Villas El Paraíso
174,Yamada,JP,61.09,broken clouds,39.4667,141.95,Iroha-ya Inn
175,Vilhena,BR,89.82,scattered clouds,-12.7406,-60.1458,Hotel Mirage
176,Loralai,PK,68.32,clear sky,30.3705,68.598,Sana Poultry Loralai
177,Grimstad,NO,53.51,scattered clouds,58.3405,8.5934,Scandic Grimstad
178,La Belgica,BO,97.68,broken clouds,-17.55,-63.2167,Colpa Caranda Eco Resort
179,Lappeenranta,FI,52.81,overcast clouds,61.0587,28.1887,Original Sokos Hotel Lappee
180,Timra,SE,49.68,fog,62.487,17.3257,Bergefors park
181,Sagua La Grande,CU,90.59,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
182,Komsomolskiy,UZ,52.52,broken clouds,40.4272,71.7189,Ikathouse
183,Hualmay,PE,66.51,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
184,La Serena,CL,62.11,few clouds,-29.9078,-71.2542,Terra Diaguita Hostal Boutique & Spa
185,Makakilo City,US,82.72,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
186,New Norfolk,AU,46.71,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
187,Buin,CL,74.05,few clouds,-33.7333,-70.75,Paihuen
188,Phan Thiet,VN,76.66,moderate rain,10.9333,108.1,Hotel Saigon-PT
189,Constitucion,CL,56.77,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
190,Sainte-Maxime,FR,66.22,overcast clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
191,Obigarm,TJ,42.15,broken clouds,38.7173,69.7088,Kurort Obi Garm
192,Jiexiu,CN,47.73,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
193,Kavaratti,IN,82.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
194,Iquique,CL,62.64,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
196,Arraial Do Cabo,BR,69.76,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
197,Carnarvon,AU,60.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
198,Karratha,AU,74.48,clear sky,-20.7377,116.8463,ibis Styles Karratha
199,Wang Saphung,TH,73.36,overcast clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
200,Nikolskoye,RU,54.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
201,Vao,NC,69.51,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
202,Kandrian,PG,77.76,light rain,-6.2167,149.55,Kandrian Station
203,Sur,OM,83.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
204,Ishigaki,JP,82.78,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
205,Itarema,BR,80.19,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
206,Charters Towers,AU,68.88,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
207,Mosjoen,NO,53.6,light rain,65.836,13.1908,Fru Haugans Hotel
209,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
210,Chuy,UY,59.58,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
211,Tsabong,BW,62.67,scattered clouds,-26.0217,22.401,Springbok Motel
212,Sarangani,PH,84.33,overcast clouds,5.4033,125.4636,Ballistic Islet
213,Road Town,VG,87.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
214,Plaza De Caisan,PA,78.89,broken clouds,8.7333,-82.8167,Rolando Peralta
215,Prainha,BR,91.08,scattered clouds,-1.8,-53.48,Casa Rocha
216,Huaral,PE,62.53,scattered clouds,-11.495,-77.2078,Hostal El Tiempo
217,Vangaindrano,MG,66.58,few clouds,-23.35,47.6,Hotel Fanilo
219,Boyolangu,ID,73.67,overcast clouds,-8.1181,111.8935,Yos ega cv
221,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
222,Samarai,PG,79.21,overcast clouds,-10.6167,150.6667,Nuli Sapi
223,Butaritari,KI,82.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
224,San Matias,BO,96.6,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
225,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
